Kalimat-1,Kalimat-2,Kalimat-3,Kalimat-4,Correct Ending,Incorrect Ending
Tetangga lamaku dulu terlalu sering menganggap Halloween.,Kostumnya sangat rumit.,"Suatu tahun, dia memutuskan untuk menjadi Jason dan bersembunyi di bawah pintu garasinya.","Dia menakuti semua orang, dan seluruh lingkungan mengeluh.",Tahun berikutnya dia tidak berdandan sama sekali.,Dia adalah pria yang paling dicintai di lingkungan itu.
Elle menginginkan mobil baru.,Dia pergi ke dealer dan memilih yang sempurna.,Dealer membantu menyiapkan rencana pembayaran untuknya.,Setiap bulan Elle membayar lima ratus dolar untuk harga mobil itu.,Elle sangat bertanggung jawab.,Elle benci mengemudi.
"Ketika Jay mengetahui bahwa kakak perempuannya hamil, dia gugup.","Meskipun dia bahagia untuk saudara perempuannya, dia takut menjadi seorang bibi.",Jay tahu bahwa akan ada banyak tanggung jawab yang terlibat.,"Tapi kemudian, dia akhirnya pulang dari sekolah dan melihat keponakannya.",Jay segera tahu bahwa ketakutannya tidak berdasar.,Jay mengira keponakannya jelek.
Seikat pisang cantik menjuntai di luar jangkauan.,"Bobby mencoba melempar sepatunya, tapi macet.","Dia mencoba memanjat pohon, tetapi dia jatuh.","Selanjutnya, dia memukul keras dengan cangkul, tapi itu terlalu pendek untuk dijangkau.",Bobby pergi ke gudang untuk mengambil tangga untuk mengambil pisang.,Bobby kesal karena dia mendapat pisang.
Pablo menginginkan pemecah rahang.,Namun dia tidak punya uang.,Dia memeriksa lemarinya untuk melihat apa yang bisa dia jual.,Dia menemukan mainan beruang dan menjualnya seharga 50 sen.,Lalu dia membeli permennya.,Dia membeli soda dengan itu.
Sara sangat menantikan tanggal 1 Desember yang akan datang.,"Ketika akhirnya berhasil, dia pergi ke gudangnya dan mengeluarkan berton-ton kotak.",Perlahan-lahan dia mulai membongkar dan mengatur isinya.,Dia kemudian mulai mendekorasi bagian luar rumah.,Dia menyukai lampu.,Sara menyukai Fourth of July.
"Ketika saya berumur tujuh tahun, saya pergi berenang dengan beberapa teman.",Saya tidak tahu bagaimana berenang di air yang dalam.,"Secara tidak sengaja, saya terpeleset ke bagian dalam kolam.",Saya pikir saya akan tenggelam!,Seorang penjaga pantai melompat masuk dan menarik saya keluar dari ujung yang dalam.,Ulang tahunku adalah hari terbaik yang pernah ada.
Ana sedang berenang di danau.,Dia berenang melintasi seluruh danau dan ke rakit di sisi lain.,"Dia bersiap untuk berenang kembali, tapi kemudian dia berhenti.",Dia melihat ikan besar dan menakutkan berenang di air!,"Dia berteriak meminta temannya, tidak yakin harus berbuat apa lagi.",Ana berjanji tidak akan pernah mendaki gunung lagi!
Cornelia selalu senang bekerja dengan tangannya.,Dia memutuskan ingin mencoba membangun meja sendiri.,Dia mengambil kursus pertukangan untuk mempelajari cara membuatnya.,"Setelah menyelesaikan kursus, Cornelia membangun meja yang indah.",Cornelia menggunakannya sebagai nakas di kamarnya.,Cornelia memotong meja untuk kayu bakar.
Saya berada di binatu Minggu lalu.,Ada seorang gadis cantik yang mencuci pakaiannya di sana juga.,Saya naik dan mulai berbasa-basi.,Dia tersenyum tapi sepertinya tidak tertarik.,Aku meninggalkannya sendirian tapi terus melirik sedikit.,Saya membelikannya gaun sore itu.
Ulang tahun saya kemarin.,"Yang mengejutkan saya, teman-teman saya merencanakan pesta untuk saya.",Saya tidak bisa mempercayainya.,Pestanya sangat menyenangkan.,Itu adalah pesta ulang tahun terbaik yang pernah ada.,Aku benci hari ulang tahunku.
Ayah Gina berhenti di tempat parkir Walgreen 24 jam.,Saat itu hampir jam 4 pagi tetapi semua orang masuk ke dalam.,Mereka membutuhkan sikat gigi sebelum pergi ke rumah nenek.,Tugas Gina adalah mengemasnya sebelum mereka pergi.,Gina merasa bersalah karena melupakan sikat gigi semua orang.,Keluarga Gina senang sikat gigi mereka tidak dikemas.
Jeremy memiliki kepribadian yang berbeda dan kuat.,Dia mengalami saat-saat buruk dengan pekerjaannya dan dipecat.,Dia berbicara beberapa hal yang tidak menyenangkan kepada manajer dan rekan kerjanya.,"Sejak itu, dia kesulitan mencari pekerjaan.",Jeremy memiliki sikap yang sulit di tempat kerja.,Sikap Jeremy sangat cocok untuk tempat kerja.
Setelah reporter kejuaraan bola basket negara bagian mewawancarai tim.,Dan bertanya apakah ini live atau direkam.,Wartawan itu memberitahunya bahwa itu adalah pertunjukan langsung.,Dan berkata ke kamera ayahnya adalah inspirasinya.,Dan mengagumi ayahnya.,Dan malu dengan ayah ini.
Tori sangat bersemangat untuk melakukan trik atau mengobati.,Dia mengenakan kostumnya dan berlari keluar pintu.,Dia mulai memakan permen itu secepat dia mendapatkannya.,Segera perutnya sakit.,Tori jatuh sakit karena terlalu banyak makan permen.,Tori merasa lebih baik setelah itu.
Tahun lalu paman saya membeli detektor logam.,Dia membawanya ke pantai setiap akhir pekan.,Beberapa bulan yang lalu dia menemukan sebuah Rolex.,Harganya beberapa ratus dolar.,Paman saya menikmati hobinya.,Paman saya benci pantai.
Biff ingin menonton film barat.,Biff juga ingin menonton film di bioskop.,Orang-orang Barat tidak disukai publik dan tidak ada yang muncul.,Biff memutuskan untuk menyaring western klasik sendiri.,Dia menikmati menonton barat.,Biff benci film barat.
Kim bangun dan memutuskan untuk pergi ke mal.,Dia sampai di sana dan segera menghabiskan $ 250 untuk sepasang sepatu.,"Belakangan, dia menemukan tas yang cocok dengan sepatu.","Setelah membeli pakaian yang cocok, dia memutuskan untuk pulang.",Kim menyukai semua yang dibelinya.,Kim meletakkan barang-barangnya dan memutuskan untuk pergi ke bioskop sebagai gantinya.
Gina salah meletakkan ponselnya pada kakek dan neneknya.,Itu tidak ada di ruang tamu.,Dia berada di dalam mobil sebelum tidur siang di ruang tamu.,Dia mengambil kunci ayahnya dan lari keluar.,Dia menemukan teleponnya di dalam mobil.,Tapi dia tidak menginginkan teleponnya lagi.
Albert adalah seorang pemuda yang baru saja mendapatkan sertifikasi CPR.,Dia memutuskan untuk merayakannya dengan pergi makan.,"Saat berada di restoran, pelanggan lain mulai tersedak makanannya.",Albert bergegas ke sisinya dan dengan cepat melakukan manuver Heimlich.,Albert menyelamatkan hari itu.,Semua orang marah pada Albert.
"Kemarin, Anna memutuskan untuk tidur siang.",Dia merasa nyaman di kursinya dan menutup matanya.,"Saat dia tertidur, anak anjing putrinya melompat ke pangkuannya!",Dia sangat terkejut.,"Dia memeluk anak anjing yang menggemaskan itu, senang melihatnya.",Anak kucing itu sangat lucu.
Liz sedang mengasuh anak laki-laki berusia 5 tahun.,Dia ingin bermain petak umpet.,Dia menemukannya beberapa kali tetapi kemudian dia menghilang.,Dia menjadi panik saat dia mencari rumah untuk dia.,"Ketika dia mendengarnya terkikik dari lemari, Liz lega.",Liz bosan dengan permainan itu dan tidur siang.
Anna sedang berjalan ke sekolah suatu pagi.,Dia memasuki penyeberangan di jalan utama.,Sebuah mobil tiba-tiba terbang ke dalamnya dan menabraknya.,Anna remuk dan kakinya patah.,Anna menggugat mereka tetapi tidak mendapat apa-apa karena mereka tidak memiliki asuransi.,Anna pergi ke klub dan menari sepanjang malam.
Tim selalu ingin bermain drum.,Orang tuanya membelikannya satu set untuk Natal.,Dia akan memainkannya sepanjang waktu.,Itu terlalu keras dan membuat orang tuanya kesal.,Mereka menyiapkan tempat di garasi untuk dia berlatih.,"Tak lama kemudian, orang tua Tim membenci suara terompet."
Bos Fred memanggilnya ke kantor di pompa bensin propana.,Dia memberi tahu Fred bahwa masa-masa sulit dan dia harus diberhentikan.,Fred menjadi sangat marah tentang ini.,Dia mengambil atasannya di kerah dan melemparkannya ke bawah.,Rekan kerja Fred yang melihatnya menyerang bosnya menelepon polisi.,Bos Fred memeluknya erat-erat.
Saya ingin belajar bagaimana chocolate chip dibuat.,Saya membuka internet dan mencari topik tersebut.,"Saya memindai semua hasil, dan akhirnya menemukan apa yang saya inginkan.",Saya membaca seluruh artikel.,Saya membuat kue.,Saya membuat daging babi panggang.
Kayla meminjam buku dari saudara perempuannya.,Dia membawa buku itu ke kedai kopi untuk dibaca.,Kayla secara tidak sengaja menumpahkan sebagian dari vanilla latte-nya di buku itu.,Dia segera pulang untuk memberi tahu saudara perempuannya.,Kakaknya gila!,Kayla adalah anak tunggal.
Ayah Gina keluar dari ruang bawah tanah dengan geram.,Dia menemukan narkoba di tempat tidur saudara remajanya.,Bagaimana jika salah satu dari anak kecil telah menemukan obat ini.,"Bagi ayahnya, ini adalah yang terakhir.",Ayah Gina melarang semua orang selama sebulan.,Ayah Gina bangga.
Guru saya menunjukkan kepada kami bagaimana membangun rumah burung dari kayu.,Semua orang mulai bereksperimen.,Saya mencoba menghubungkan perbatasan dengan paku.,Saya akhirnya memukul jari saya dengan palu.,Saya pergi ke rumah sakit untuk memperbaiki jari saya yang patah.,Saya sangat senang karena saya telah membangun rumah kayu burung.
Lance ingin menikmati malam romantis bersama istrinya.,Dia menidurkan anak-anak lebih awal dan mulai makan malam.,Dia lupa memeriksa masakan dan membakar dapur.,Istrinya tiba di pemadam kebakaran.,Istrinya sangat marah sehingga mengajak anak-anak tidur di rumah nenek.,Istri Lance merasa sangat romantis dan penuh kasih ketika dia tiba di rumah.
Saya membersihkan cincin kawin saya.,Saya pertama kali mengaturnya di pembersih untuk direndam.,Saya kemudian menyekanya dengan kuas untuk memastikan bahwa saya melepaskan semuanya.,Kemudian saya memasukkannya kembali ke dalam pembersih sebentar.,Itu keluar berkilau.,Saya memutuskan untuk membuang cincin itu.
Fred bertaruh dengan Sam tentang siapa yang bisa menurunkan berat badan lebih banyak dalam sebulan.,"Fred benar-benar ingin memenangkan taruhan, yaitu $ 100.","Fred berolahraga setiap hari, menghindari makanan cepat saji, dan melewatkan makan malam.",Di akhir bulan Fred merasa yakin dia akan menang.,"Fred akhirnya memenangkan taruhan, dan $ 100.",Fred membatalkan taruhannya di akhir bulan.
Maggie melihat seekor kelelawar terbang di sekitar langit-langitnya.,Dia panik dan tidak tahu harus berbuat apa.,Dia memutuskan untuk bersembunyi di kamarnya dan memanggil pembasmi.,"Tiba-tiba, kucingnya masuk ke kamarnya sambil memegang sesuatu di mulutnya.",Itu adalah kelelawar.,Kucing Maggie sudah mati.
Juan ingin menjadi luchador.,Dia dibesarkan dengan menonton mereka di televisi.,Dia berlatih setiap hari di ruang bawah tanah.,Akhirnya dia ditambahkan ke pertunjukan kecil.,Juan akhirnya sangat sukses.,Juan memutuskan bahwa menjadi luchador adalah aspirasi yang bodoh.
Tim memutuskan untuk menghabiskan lebih banyak waktu dengan kakeknya.,"Kakeknya suka mengamati burung, jadi Tim menonton bersamanya.",Mereka menandai penampakan mereka di buku catatan.,Tim segera tertarik!,Tim dan kakeknya menemukan hobi yang mereka berdua nikmati.,Tim memutuskan dia tidak tertarik pada burung lagi.
Keluarga saya pergi makan malam pada hari Kamis.,Kami memilih tempat pizza lokal.,Makanan nya enak.,Stafnya ramah dan cepat.,Kami akan sering kembali ke sana.,Pizza pertama kali dibuat di Italia untuk mewakili warna bendera.
Juan ingin membuat taco untuk keluarganya malam ini.,Dia pergi ke toko bahan makanan dan membeli bahan-bahannya.,"Saat dia menyiapkan makan malam, dia menyadari bahwa dia lupa tortilla!",Dia ingin kembali ke toko tapi sudah tutup.,Ibu Juan menunjukkan padanya cara membuat taco casserole.,Juan kembali ke toko.
Saat itu musim panas yang sangat panas dan kering.,Ayah John membeli bak mandi burung untuk membantu hewan bertahan hidup.,"Dalam beberapa menit setelah mengisinya, seorang kardinal melompat masuk.","Sepanjang hari, John menghitung ada 34 burung yang berkunjung.",John senang burung-burung itu menikmati mandi burung.,John tidak suka burung.
Joe sangat ingin kuliah di Universitas Columbia.,"Dia bekerja sangat keras di sekolah, berada di tim sepak bola.",Dia dimasukkan dalam daftar tunggu.,"Meskipun dia kecewa, dia mencoba yang terbaik sampai akhir.",Joe masih sangat bangga dengan kerja kerasnya.,Joe memutuskan dia tidak ingin kuliah.
Ron baru saja mengetahui bahwa keluarganya pindah ke sebuah peternakan.,Ron gugup.,Dia tidak tahu apa-apa tentang binatang.,"Tetapi ketika dia sampai di rumah baru, dia terkejut.",Ron menemukan bahwa dia lebih suka tinggal di sebuah pertanian.,Ron benci berada di pertanian karena dia tidak menyukai binatang.
Jake mencoba untuk tertidur.,Dia memiliki ujian penting besok.,Dia berguling-guling di tempat tidurnya sepanjang malam.,Dia mencoba meminum segelas besar susu hangat.,Jake tertidur setelah meminum susu.,Jake lalu meminum secangkir kopi agar tetap terjaga.
"Betsy menginginkan anak anjing, tetapi ibunya menolak.",Betsy sangat sedih dan kecewa karena dia sangat menginginkan hewan peliharaan.,Suatu hari dia pergi ke kamarnya dan menemukan seekor hamster di dalam kandang.,"Bagaimanapun, ibunya telah memberinya hewan peliharaan!",Betsy sangat senang.,Betsy melampiaskannya karena pada dasarnya itu adalah hewan pengerat.
Anne baru saja berusia 50 tahun ketika dia melihat sesuatu yang meresahkan.,Rambutnya mulai beruban!,Dia berpikir untuk mengecatnya untuk menyembunyikan abu-abu.,Kemudian dia memutuskan untuk menghormati kebijaksanaan dan tahun-tahunnya.,Dia memakai rambut abu-abunya dengan bangga.,Dia mengecat rambutnya menjadi pirang.
Rick memberi tahu teman-temannya bahwa dia tidak suka berkemah.,Mereka tetap menyadapnya sampai dia pergi berkemah.,"Suatu malam, dia terbangun oleh seekor ular di tendanya.",Dia berlari berteriak dari tenda.,Rick menolak untuk berpikir tentang pergi berkemah sekarang.,Rick mengelus ular itu dengan senang hati.
Aya ingin menjadi model.,Dia pikir dia punya kesempatan karena dia kurus dan cantik.,Jadi dia mengikuti kontes model tahunan kotanya.,"Yang membuatnya terkejut, dia memenangkan kontes.",Aya sangat senang dengan hasil kontesnya.,Aya sangat kesal dengan hasil kontes.
Jon haus.,Dia tidak memiliki air ledeng di rumahnya.,Jon memutuskan untuk pergi membeli air di toko.,"Sayangnya, dia mengalami kecelakaan mobil di jalan.",Jon awalnya menyesal karena haus.,Jon senang dia meninggalkan rumah.
Marge memohon kepada suaminya Bill untuk mendapatkan kolam di halaman belakang.,"Dia akhirnya mengalah, dan kolam itu dipasang.","Segera, Marge mengadakan pesta biliar mingguan.","Di salah satu pesta, dia melihat seorang tetangga berbikini berbicara dengan Bill.",Marge merasa sedikit menyesal karena harus masuk ke kolam saat itu.,Marge memasang kunci baru di gantungan kunci.
Matt menemukan seekor anak anjing berkeliaran di jalan.,"Itu tampak tersesat dan ketakutan, jadi Matt membawanya pulang.","Ibu Matt menelepon beberapa tetangga, dan akhirnya menemukan pemiliknya.",Pemilik anak anjing itu sangat lega mengetahui anak anjingnya selamat!,Pemilik anak anjing itu memberi Matt hadiah karena telah menemukannya.,Pemilik anak anjing itu mencekiknya dan menawarkan mayat itu kepada Matt.
Linda pergi membeli yogurt beku.,Dia melihat yogurt putih dan mengira itu vanila.,"Dia menyukai vanilla, jadi itulah yang dia dapatkan.",Dia mencicipinya dan itu mengerikan.,Linda sangat kecewa.,Linda sangat senang.
Neil sedang backpacking Eropa.,Dia baru saja tiba di Dover.,Dia menyukai betapa ramahnya orang-orangnya!,Dia juga menyukai makanan lezat mereka.,Neil bersenang-senang.,Neil sengsara.
Portia suka berjalan melewati hutan di dekat rumahnya.,"Namun, dia memperhatikan bahwa sepatunya menjadi berlumpur dan kotor.",Dia memutuskan untuk membeli sepasang sepatu bot hiking.,Portia menemukan pasangan yang nyaman dan tidak terlalu mahal.,Dia senang dengan pilihannya.,Dia menyumbangkan sepatu bot itu ke toko barang bekas.
Ada enam anak anjing berlarian di sekitar serambi saya.,Akan sulit untuk memilih yang ingin kami beli.,Setiap putri saya memilih seekor anak anjing yang berbeda.,Pemilik mengatakan kami bisa mendapatkan diskon untuk dua anjing.,Kami masing-masing membeli satu anjing.,Kami tidak menyukai anjing-anjing itu.
Nya diajak jalan-jalan paintball dengan teman-temannya.,Dia gugup untuk pergi.,"Tapi dia tetap pergi, berharap untuk bersenang-senang.",Dia menembakkan bola cat ke teman-temannya dan tertawa sepanjang waktu.,Dia sangat menyukainya sehingga dia merencanakan perjalanan untuk minggu depan.,Dia ditembak dan bersumpah untuk tidak pergi ke sana lagi.
Jennifer merasa perutnya keroncongan.,Dia berpikir tentang terakhir kali dia makan dan menyadari itu sudah lama sekali.,Dia bangkit dari sofa dan pergi ke dapur.,"Setelah memasak makanan besar dan memakannya, dia merasa baik kembali.",Jennifer tidak lapar lagi.,Jennifer menginginkan lebih banyak makanan.
Kyle dan Ted mengikuti kontes makan pai.,Mereka duduk bersama di depan pai mereka.,"Saat kontes dimulai, mereka ikut campur.",Keduanya mengalami sakit perut yang parah.,Kyle dan Ted sakit parah hingga mereka berdua kalah.,Mereka berdua merasa luar biasa setelah makan pai.
Jackie dirawat di rumah sakit hari ini.,Bayinya akan segera lahir.,Suaminya pulang kerja untuk menghiburnya.,"Setelah 48 jam melahirkan, bayinya dibebaskan.",Jackie dan suaminya sangat senang.,Jackie sangat tertekan.
Ayah Emmy mengajaknya memilih anak kucing.,Ada dua bersama di dalam sangkar.,Dia tidak bisa memisahkan mereka!,Itu membuatnya sedih harus memilih.,"Lalu, ayah Emmy berkata dia bisa memelihara kedua anak kucing itu.",Emmy pergi dengan marah karena dia menginginkan seekor anjing.
